Ranking,Country,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,,,,,,,,,,,,,,
4,Sweden,Western Europe,"73,441","8,77,425","0,92843",77.00,"0,97097","0,55252","0,91078",,,,,,,,,,,,,,
9,Switzerland,Western Europe,"7,602","9,20,463","0,88148",78.00,"0,87934","0,43239","0,86525",,,,,,,,,,,,,,
31,Taiwan Province of China,East Asia,"65,035","8,60,343","0,83257",75.00,"0,75178","0,17043","0,35184",,,,,,,,,,,,,,
128,Tanzania,Sub-Saharan Africa,"37,806","3,83,149","0,43676",67.00,"0,82153","0,47697","0,44723",,,,,,,,,,,,,,
58,Thailand,Southeast Asia,"59,761","6,93,387","0,83309",74.00,"0,87531","0,7051","0,4204",,,,,,,,,,,,,,
121,Togo,Sub-Saharan Africa,"42,141","3,54,351","0,36257",65.00,"0,52429","0,31606","0,27127",,,,,,,,,,,,,,
112,Tunisia,Middle East and North Africa,"44,218","61,034","0,59058",73.00,"0,29414","0,596","0,3191",,,,,,,,,,,,,,
96,Turkiye,Middle East and North Africa,"49,753","7,94,937","0,72687",74.00,"0,23407","0,16981","0,19955",,,,,,,,,,,,,,
114,Uganda,Sub-Saharan Africa,"43,717","3,60,638","0,71189",66.00,"0,68044","0,44368","0,9423",,,,,,,,,,,,,,
102,Ukraine,Commonwealth of Independent States,"4,873","6,30,641","0,81364",71.00,"0,73048","0,71213","0,4414",,,,,,,,,,,,,,
22,United Arab Emirates,Middle East and North Africa,"67,331","9,26,467","0,72003",72.00,"0,94401","0,52127","0,44914",,,,,,,,,,,,,,
20,United Kingdom,Western Europe,"6,749","8,51,296","0,82035",75.00,"0,82599","0,66512","0,61091",,,,,,,,,,,,,,
23,United States,North America and ANZ,"67,248","95,791","0,86094",72.00,"0,67918","0,55708","0,29412",,,,,,,,,,,,,,
26,Uruguay,Latin America and Caribbean,"66,115","7,45,412","0,8855",73.00,"0,89791","0,26459","0,38336",,,,,,,,,,,,,,
47,Uzbekistan,Commonwealth of Independent States,"6,195","5,66,075","0,86264",71.00,"0,96713","0,62743","0,37326",,,,,,,,,,,,,,
78,Venezuela,Latin America and Caribbean,"56,067","0,8174",705999.00,0.00,"0,47969","0,14982","0,76432",,,,,,,,,,,,,,
54,Vietnam,Southeast Asia,"6,43","6,21,579","0,78378",71.00,"0,97594","0,23369","0,27818",,,,,,,,,,,,,,
130,Yemen,Middle East and North Africa,"3,561","3,13,606","0,79273",64.00,"0,41974","0,19988","0,19678",,,,,,,,,,,,,,
131,Zambia,Sub-Saharan Africa,"35,024","4,19,978","0,50041",63.00,"0,84216","0,41825","0,19012",,,,,,,,,,,,,,
135,Zimbabwe,Sub-Saharan Africa,"33,411","3,49,606","0,52587",62.00,"0,56401",",23983","0,22708",,,,,,,,,,,,,,
